,id,brand,car_model,type,desc,problem,datetime,status
171,570182,一汽-大众奥迪,奥迪A4L,2020款 45 TFSI quattro 臻选致雅型,一汽大众奥迪A4L安装中网导致车辆受损,"I295,J303,",2021-02-03,信息审核
172,570168,东风本田,本田CR-V,2018款 1.5T CVT 两驱 舒适版,东风本田CR-V变速箱损坏行驶中动力消失,"B334,",2021-02-03,处理反馈
173,570167,华晨中华,中华V7,2018款 280T 手动 豪华型 5座,华晨中华V7发动机故障灯亮发动机无法启动,"A34,A44,B19,H119,",2021-02-03,信息审核
174,570158,东风标致,标致307,2009款 两厢 1.6L 手动 爱乐版,东风标致307召回后油箱有严重汽油味,"H75,",2021-02-03,处理反馈
175,570155,上汽大众斯柯达,柯米克,2020款 1.5L 自动 舒适版,斯柯达柯米克前挡风玻璃开裂4S店不索赔,"H113,I297,",2021-02-03,处理反馈
176,570154,江淮汽车,瑞风S3,2016款 1.5L 手动 豪华智能型,江淮瑞风S3定速巡航失效 发动机故障灯亮,"A34,H253,",2021-02-03,用户评分
177,570152,东风日产,蓝鸟,2016款 1.6L CVT 高能版,东风日产蓝鸟油箱容积与厂家宣传不符,"M279,",2021-02-03,用户评分
178,570142,北京现代,领动,2016款 1.4T  双离合 炫动·活力型,北京现代领动中网与门把手氧化生锈严重,"H79,",2021-02-03,信息审核
179,570140,比亚迪,比亚迪S6,2013款 劲悦版 2.0L 手动 精英型 5座,比亚迪S6车身漆面起泡开裂希望处理,"H81,",2021-02-03,处理反馈
180,570138,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉预碰撞系统故障倒车异响,"G56,H170,",2021-02-03,信息审核
181,570137,福田汽车,祥菱M,2018款 1.5L M2非承载 单排 后双胎(厢式)DAM15L,福田祥菱M轮毂螺丝杆断裂底盘异响,"G56,G200,",2021-02-03,信息审核
182,570135,东风日产,天籁,2020款 改款 2.0L XL 舒适版,东风日产天籁油箱异响希望厂家处理,"H147,",2021-02-03,处理反馈
183,570133,广汽本田,冠道,2020款 370TURBO 四驱 尊享版,广汽本田冠道首保后出现发动机漏油,"A12,",2021-02-03,用户评分
184,570131,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 都市版,一汽丰田RAV4荣放右侧A柱仪表台附近异响,"H93,",2021-02-03,信息审核
185,570130,一汽-大众,速腾,2021款 280TSI DSG 豪华智联版,一汽大众速腾后车门关闭时有异响,"H72,",2021-02-03,处理反馈
186,570129,华晨宝马,宝马5系,2020款 530Li 领先型 M运动套装,华晨宝马5系合格证二维码无法扫描,"M284,",2021-02-03,信息审核
187,570128,广汽本田,凌派,2019款 180Turbo CVT 舒适版 国VI,广汽本田凌派发动机故障灯亮多次维修未解决,"A34,J298,",2021-02-03,用户评分
188,570127,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳大灯进水希望尽快处理,"H88,",2021-02-03,处理反馈
189,570125,东风本田,哥瑞,2016款 1.5L CVT 风尚版,东风本田哥瑞发动机冷启动异响希望处理,"A9,",2021-02-03,厂家受理
190,570123,长安福特,金牛座,2019款 EcoBoost 245 尊享版,长安福特金牛座打死方向车轮异响,"G125,",2021-02-03,处理反馈
191,570121,奇瑞汽车,瑞虎8,2019款 1.5TCI 手动 精英型,奇瑞瑞虎8车灯盲区过大 倒车灯亮度不足,"H82,Q322,",2021-02-03,厂家受理
192,570119,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L高压油泵故障希望处理,"H78,",2021-02-03,处理反馈
193,570118,上汽集团,名爵5,2021款 180DVVT CVT 青春豪华版,上汽名爵5官方淘宝直播活动不兑现,"L313,",2021-02-03,处理反馈
194,570117,广汽本田,缤智,2020款 1.5L CVT 豪华版,广汽本田缤智左侧车门内侧有掉漆的现象,"H81,",2021-02-03,处理反馈
195,570116,一汽吉林,森雅R9,2018款 1.2T 自动 尊贵智悦型,一汽森雅R9发动机防盗锁锁死 4S店无法打开,"H23,",2021-02-03,信息审核
196,570111,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国Ⅵ,一汽大众探岳行驶时拖挡导致共振,"B69,B208,",2021-02-03,处理反馈
197,570109,东风日产,逍客,2017款 2.0L CVT 智享版 国V,东风日产逍客普利司通轮胎老化有裂纹,"F100,",2021-02-03,处理反馈
198,570108,一汽-大众奥迪,奥迪A6L,2018款 35 TFSI 双离合 运动型,一汽大众奥迪A6L两后倍耐力轮胎磨损,"F10,",2021-02-03,处理反馈
199,570107,广汽丰田,凯美瑞,2016款 2.0G 自动 十周年纪念领先版,广汽丰田凯美瑞前半轴防尘套漏油,"G161,",2021-02-03,信息审核
200,570099,星途,星途TX,2019款 TX 1.6T 四驱 铂金版,星途TX电池亏电严重导致空调无法启动,"H79,H146,",2021-02-03,信息审核
201,570095,江西五十铃,铃拓,2020款 2.5T 两驱 手动 领航版 国VI JE4D25Q6A,江西五十铃铃拓变速箱抖动希望厂家处理,"B95,",2021-02-03,信息审核
202,570094,一汽-大众,高尔夫,2017款 230TSI 自动 豪华百万辆纪念版,一汽大众高尔夫4S店 更换配件以旧充新,"N316,",2021-02-03,处理反馈
203,570093,吉利汽车,缤越,2019款 260T DCT 游侠 国VI 运动款,吉利缤越发动机故障灯亮 服务态度蛮横,"A34,I293,",2021-02-03,处理反馈
204,570092,江淮汽车,瑞风S2,2015款 1.5L CVT 豪华型,江淮瑞风S2行驶中TCU故障防侧滑报警,"B96,H170,",2021-02-03,处理反馈
205,570091,上汽通用五菱,五菱宏光,2019款 1.5L S 基本型 L2B,上汽通用五菱宏光遥控器失灵 电瓶亏电,"H146,H110,H119,",2021-02-03,用户评分
206,570087,一汽丰田,威驰,2019款 1.5L CVT 创行版,一汽丰田威驰发动机冷却液渗漏希望厂家处理,"A37,",2021-02-03,信息审核
207,570086,广汽本田,凌派,2013款 1.8L 自动 舒适版,广汽本田凌派4S店收取高额报价费,"K307,",2021-02-03,处理反馈
208,570082,东风日产,天籁,2020款 2.0L XL 舒适版,东风日产天籁油箱行驶时异响希望更换,"H147,",2021-02-03,处理反馈
209,570078,北京奔驰,奔驰GLB,2020款 GLB 200 时尚型,奔驰GLB发动机故障灯亮 天窗开关异常,"A34,H155,",2021-02-03,厂家受理
210,570074,DS汽车,DS6,2016款 1.6T 豪华版THP160,DS6天窗无法完全关闭希望尽快处理,"H192,",2021-02-03,信息审核
211,570072,广汽本田,雅阁,2018款 260TURBO 精英版 国VI,广汽本田雅阁高速行驶时修正方向卡顿,"D59,D123,",2021-02-03,处理反馈
212,570069,东风本田,本田UR-V,2017款 370TURBO 四驱 尊耀版 国V,东风本田UR-V进气格栅开裂厂家不予索赔,"H168,I297,",2021-02-03,处理反馈
213,570068,庆铃汽车,巨咖,巨咖,庆铃巨咖原车未配备汽笛希望处理,"Q322,",2021-02-03,信息审核
214,570066,奇瑞汽车,捷途X70,2020款 1.5T DCT 智行版 5座,捷途X70减震器异响 转向异响 颠簸抖动,"D59,G52,G162,",2021-02-03,处理反馈
215,570059,东风本田,本田CR-V,2017款 240TURBO 自动 两驱 舒适版,东风本田CR-V后轮胎吃胎异常磨损严重,"G245,",2021-02-03,用户评分
216,570058,宝马（进口）,宝马X7,2021款 xDrive40i 尊享型M运动套装,进口宝马X7座椅出现白色斑痕影响美观,"H169,",2021-02-03,信息审核
217,570056,一汽-大众,探影,2020款 1.5L 自动 悦,一汽大众探影后视镜无法电动调节,"H110,H211,",2021-02-03,处理反馈
218,570055,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜行驶时排气管异响 不予索赔,"H31,I297,",2021-02-03,处理反馈
219,570051,特斯拉中国,Model Y,2021款 长续航 全轮驱动版,特斯拉Model Y热泵压缩机损坏空调不制热,"H101,",2021-02-03,信息审核
220,570050,上汽大众,途铠,2019款 1.5L 自动 舒适版,上汽大众途铠合同订购车型与实际车型不符,"I293,M280,",2021-02-03,处理反馈
221,570049,东风日产,轩逸,2019款 1.6XV CVT 智联尊享版 国VI,东风日产轩逸加满油汽油箱异响 转向异响,"D59,H147,",2021-02-03,处理反馈
222,570047,一汽奔腾,奔腾B50,2016款 1.6L 自动 舒适型,一汽奔腾B50车身后轮上方生锈腐烂,"H79,",2021-02-03,处理反馈
223,570045,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳冬季颗粒捕捉器堵塞油耗增加,"A85,A114,",2021-02-03,处理反馈
224,570043,特斯拉中国,Model Y,2021款 长续航 全轮驱动版,特斯拉Model Y空调压缩机故障 与宣传不符,"H101,I295,M279,",2021-02-03,信息审核
225,570042,东风悦达起亚,智跑,2018款 2.0L 自动 智享豪华版,东风悦达起亚智跑贷款还清后未提供车钥匙,"O354,",2021-02-03,处理反馈
226,570040,一汽红旗,红旗HS5,2019款 2.0T 智联旗享四驱版,红旗HS5启动后提示废气监控系统故障,"A114,",2021-02-03,信息审核
227,570038,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳大灯透镜发白影响照明 油耗高,"A85,H82,",2021-02-03,处理反馈
228,570037,广汽丰田,雷凌,2021款 185T CVT 运动版,广汽丰田雷凌动力消失希望尽快处理,"A255,",2021-02-03,信息审核
229,570036,东风小康,东风小康C32,2018款 1.2L 改款 基本型 国V DK12,东风小康C32行驶不到一年出现大梁断裂,"G261,",2021-02-03,处理反馈
230,570034,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 进取型 国VI,一汽大众奥迪A3发动机烧机油机油消耗异常,"A63,",2021-02-03,信息审核
231,570032,上汽大众,途观L,2020款 330TSI 自动 两驱 全景舒适版 国VI,上汽大众途观L低速车身共振 方向跑偏,"G117,H268,H144,",2021-02-03,用户评分
232,570028,长安福特,翼虎,2018款 EcoBoost 180 两驱 铂翼型,长安福特翼虎车内异味希望尽快处理,"H185,",2021-02-03,处理反馈
233,570027,东风日产,天籁,2021款 2.0L XL 舒适版,东风日产天籁右转弯时踩油门加速有异响,"G56,",2021-02-03,处理反馈
234,570026,一汽-大众奥迪,奥迪A3,2016款 Limousine 1.4T 双离合 领英型,一汽大众奥迪A3变速箱机电单元故障,"B115,",2021-02-03,信息审核
235,570025,一汽-大众奥迪,奥迪A4L,2016款 1.8T 自动 舒适型,一汽大众奥迪A4L行驶时发动机舱发生自燃,"H40,",2021-02-03,信息审核
236,570023,DS汽车,DS 4S,2016款 1.2T 进取版THP130,长安标致雪铁龙DS 4S正时皮带掉,"A191,A336,",2021-02-03,信息审核
237,570022,东风标致,标致408,2014款 1.8L 自动 领先版,东风标致408发动机报故障码P0172,"A34,",2021-02-03,处理反馈
238,570020,一汽-大众,宝来,2018款 1.5L 手动 舒适型,一汽大众宝来锦湖轮胎开裂要求解决,"F100,",2021-02-03,处理反馈
239,570019,长安福特,翼虎,2013款 1.6T  四驱精英型,福特翼虎加油时汽油箱异响存在质量问题,"H147,",2021-02-03,处理反馈
240,570016,奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领跑版,奇瑞艾瑞泽5车身底盘车门转向柱多处生锈,"H79,",2021-02-03,厂家受理
241,570013,北京现代,菲斯塔,2021款 280TGDi 精英版,北京现代菲斯塔新车中控屏开裂厂家拒赔,"H168,",2021-02-03,处理反馈
242,570012,江淮汽车,嘉悦X7,2020款 1.5TGDI 自动 自由+,江淮嘉悦X7厂家质保期内拒绝维修发动机,"A34,I297,",2021-02-03,用户评分
243,570011,吉利汽车,缤越,2020款 PRO 260T DCT Battle,吉利缤越4S店销售承诺未兑现提不到车,"L313,L312,L311,",2021-02-03,用户评分
244,570005,一汽-大众奥迪,奥迪Q5L,2020款 45 TFSI 尊享时尚型,奥迪Q5L新车车内异响影响正常驾驶,"H164,",2021-02-03,信息审核
245,570004,奇瑞汽车,艾瑞泽5,2017款 1.5L CVT 领潮版,奇瑞艾瑞泽5前减震器异响反复维修未解决,"G52,J298,",2021-02-03,厂家受理
246,570002,一汽丰田,皇冠,2015款 2.0T 时尚版,一汽丰田丰田皇冠发动机喷油嘴损坏,"A53,",2021-02-03,信息审核
247,569999,长安福特,蒙迪欧,2013款 1.5T 自动 GTDi180时尚型,长安福特蒙迪欧三元催化器故障导致报警,"H54,",2021-02-03,处理反馈
248,569996,东风乘用车,风神A60,2016款 1.6L 自动 豪华型,东风风神A60发动机电脑一直无配件,"N318,",2021-02-03,厂家受理
249,569995,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 豪华版,奇瑞瑞虎8车身不平整缝隙大制作工艺差,"H209,",2021-02-03,用户评分
250,569987,长安福特,翼虎,2015款 1.5L GTDi 四驱精英型 5座,长安福特翼虎碳罐堵塞导致油箱有异响,"H271,",2021-02-03,处理反馈
251,569983,广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,广汽本田缤智天冷发动机启动时VTC异响,"A9,",2021-02-03,处理反馈
252,569982,东风标致,标致308S,2015款 1.2T 自动 劲驰版,东风标致308S更换正时皮带后烧机油,"A63,",2021-02-03,处理反馈
253,569979,一汽-大众,迈腾,2019款 330TSI DSG 领先型 国V,一汽大众迈腾变速箱故障无法挂入倒挡,"B20,",2021-02-03,处理反馈
254,569976,众泰汽车,云100,2014款 云100 舒适型,众泰云100车辆质保期内发生自燃,"H40,",2021-02-03,信息审核
255,569973,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408更换正时皮带后发动机烧机油,"A63,J300,",2021-02-03,处理反馈
256,569968,广汽丰田,汉兰达,2015款 2.0T 四驱 豪华版 7座,广汽丰田汉兰达经销商保养后发动机拉缸,"A9,A329,",2021-02-03,信息审核
257,569967,吉利汽车,帝豪GL,2020款 1.4T CVT 豪华型,吉利帝豪GL后备箱无法关闭要求解决,"H68,",2021-02-03,处理反馈
258,569966,奇瑞汽车,奇瑞E3,2013款 1.5L 智尚型,奇瑞E3车门生锈严重存在质量问题,"H79,",2021-02-03,厂家受理
259,569965,捷豹,捷豹XJ,2016款 XJL 2.0T 两驱 典雅商务版,捷豹XJ桃木内饰板开裂希望给予解决,"H168,",2021-02-03,处理反馈
260,569964,东南汽车,东南DX3,2016款 1.5L 手动 豪华型,东南DX3转向异响卡滞行驶方向跑偏,"D59,D123,G117,",2021-02-03,处理反馈
261,569959,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯发白不亮 影响夜间使用,"H82,",2021-02-03,处理反馈
262,569958,广汽丰田,YARiS L 致炫,2020款 1.5L CVT 领先版,广汽丰田致炫中控异响多次维修未解决,"H93,J300,",2021-02-03,信息审核
263,569956,东风日产,轩逸,2021款 1.6L XL CVT 悦享版,东风日产轩逸新更换的优科豪马轮胎爆胎,"F130,",2021-02-03,处理反馈
264,569955,广汽丰田,汉兰达,2015款 2.0T 四驱 豪华版 7座,广汽丰田汉兰达发动机缸体损伤要求解决,"A136,",2021-02-03,信息审核
265,569951,一汽-大众,T-ROC探歌,2020款 280TSI DSG 两驱 舒适型,一汽大众T-ROC探歌电瓶亏电 变速箱漏油,"B22,H146,",2021-02-03,处理反馈
266,569948,东风日产,天籁,2019款 2.0L XL Upper 智行版,东风日产天籁智连APP无法使用希望厂家处理,"H155,",2021-02-03,处理反馈
267,569946,东风乘用车,风神A60,2016款 1.6L 自动 豪华型,东风风神A60变速箱无法换挡 空调有异响,"B20,H101,",2021-02-03,厂家受理
268,569945,特斯拉中国,Model 3,2020款 标准续航 后驱 升级版,特斯拉Model 3动力电池无法充满电,"H340,",2021-02-03,信息审核
269,569942,一汽丰田,卡罗拉,2021款 1.2T S-CVT 先锋版,一汽丰田卡罗拉发动机异响希望厂家处理,"A9,",2021-02-03,信息审核
270,569940,奇瑞汽车,瑞虎5,2014款 2.0L 手动 家悦版,奇瑞瑞虎5空调控制面板无法控制 影响使用,"H101,",2021-02-03,厂家受理
271,569939,东风日产,奇骏,2020款 2.0L XL ITS CVT 2WD 智联舒适版,东风日产奇骏电瓶亏电经常无法启动,"H146,",2021-02-03,处理反馈
272,569933,长安福特,翼虎,2017款 EcoBoost 180 两驱 豪翼型,长安福特翼虎防冻液渗漏希望厂家处理,"A37,A191,",2021-02-03,处理反馈
273,569932,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱顿挫 方向机异响,"A12,B19,D59,H101,H67,H110,",2021-02-03,处理反馈
274,569931,东风日产,天籁,2021款 2.0L XL 舒适版,东风日产天籁加满油后刹车时油箱异响,"H147,",2021-02-03,处理反馈
275,569928,一汽-大众,迈腾,2020款 330TSI DSG 豪华型,一汽大众迈腾正常行驶时发动机无故熄火,"A14,",2021-02-03,处理反馈
276,569926,路虎进口,发现,2020款 3.0 SC V6 SE,进口路虎发现行驶熄火 电路系统瘫痪,"A14,H110,",2021-02-03,处理反馈
277,569924,上汽大众,朗逸,2018款 1.5L 自动 舒适版 国V,上汽大众朗逸玛吉斯轮胎开裂 电瓶亏电,"E43,F100,H146,",2021-02-03,处理反馈
278,569923,东风本田,INSPIRE,2019款 锐·混动 2.0L 净尚版 国V,东风本田INSPIRE发动机气门室盖漏油,"A12,",2021-02-03,处理反馈
279,569920,吉利汽车,远景X6,2020款 1.4T CVT 尊贵型,吉利远景X6手机远程启动功能与宣传不符,"M279,",2021-02-03,处理反馈
280,569917,华晨宝马,宝马3系,2021款 325Li M运动套装,华晨宝马3系新车被4S店工作人员剐蹭受损,"J299,",2021-02-03,信息审核
281,569916,东风日产,轩逸,2012款 1.6L XE 自动 舒适版 经典,东风日产轩逸发动机和变速箱异响严重,"A9,B33,",2021-02-03,处理反馈
282,569915,长安福特,蒙迪欧,2013款 1.5T 自动 GTDi180时尚型,长安福特蒙迪欧节气门进机油希望厂家处理,"A12,",2021-02-03,处理反馈
283,569914,吉利汽车,帝豪GS,2020款 1.4T CVT 雅,吉利帝豪GS经销商出售问题车底盘有生锈,"H79,",2021-02-03,处理反馈
284,569912,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳发动机自动启停失效 油耗翻倍,"A85,H155,H263,",2021-02-03,处理反馈
285,569909,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾排气管消音器漏气漏水,"H31,I295,",2021-02-03,用户评分
286,569908,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408发动机大修后噪音大 减震器异响,"A38,G52,",2021-02-03,用户评分
287,569907,BEIJING汽车,BEIJING-EX3,2019款 R600 劲尚版,北汽新能源EX3冬季充不满电 导航错误,"H146,H21,",2021-02-03,处理反馈
288,569902,吉利汽车,帝豪GS,2020款 1.4T CVT 雅,吉利帝豪GS方向沉重行驶跑偏轮胎吃胎,"D156,G245,G117,",2021-02-03,处理反馈
289,569897,一汽-大众奥迪,奥迪A6L,2020款 40 TFSI 豪华动感型,一汽大众奥迪A6L行驶自动加速存在隐患,"H170,",2021-02-03,信息审核
290,569895,长安汽车,长安UNI-T,2020款 1.5T 旗舰型,长安UN-T车载麦克风失灵 车机系统无记忆,"H134,H155,",2021-02-03,处理反馈
291,569891,华晨宝马,宝马5系,2014款 525Li 豪华设计套装,宝马5系油底壳高温时有漏油现象 希望解决,"A12,",2021-02-03,信息审核
292,569888,长安福特,蒙迪欧,2013款 2.0T 自动 GTDi200时尚型,福特蒙迪欧碳罐和电子阀故障导致汽油箱异响,"H147,H271,Q322,",2021-02-03,处理反馈
293,569887,一汽丰田,卡罗拉,2021款 1.2T S-CVT 精英版,丰田卡罗拉行驶时变速箱异响刹车异响,"B33,E43,",2021-02-03,信息审核
294,569886,吉利汽车,吉利ICON,2020款 1.5TD i9 BSG,吉利ICON副驾驶门把手开裂掉皮 方向盘跑偏,"A9,D154,H134,H155,H168,H164,H89,H151,",2021-02-03,处理反馈
295,569883,领克,领克03,2019款 1.5TD DCT 劲Pro版 国VI,领克03怠速抖动 刹车抖动行驶时车内抖动,"A24,A35,E111,H268,",2021-02-03,处理反馈
296,569880,广汽丰田,雷凌,2021款 185T CVT 豪华版,广汽丰田雷凌4S店销售赠送加油卡与宣传不符,"L313,M279,",2021-02-02,信息审核
297,569878,江淮汽车,瑞风Ⅱ,2012款 2.0L 自动 公务版 汽油,江淮瑞风Ⅱ车门机盖车身裙边生锈严重,"H79,",2021-02-02,处理反馈
298,569876,奇瑞汽车,瑞麒G6,2009款 G6 2.0TCI 自动旗舰型,瑞麒G6电子手刹失灵 前三角臂厂家无配件,"E159,N318,",2021-02-02,厂家受理
299,569875,奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领锐版,奇瑞艾瑞泽5轴距不一致行驶跑偏轮胎偏磨,"G245,G117,G225,",2021-02-02,厂家受理
